code_uic,libelle,fret,code_ligne,geometry
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106)
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303)
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314)
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479)
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024)
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048)
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168)
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939)
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776)
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004)
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535)
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275)
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027)
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295)
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752)
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119)
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169)
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795)
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831)
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554)
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597)
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089)
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777)
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113)
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948)
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249)
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886)
87212464,Lauterbourg,True,145000,POINT (8.182587532363403 48.967169965804175)
87595264,St-Léon-sur-l'Isle,False,621000,POINT (0.492393736576137 45.123254805181084)
87715151,Ste-Colombe,False,875000,POINT (6.266118394080586 46.87920222188878)
87141036,Foug,True,070000,POINT (5.791096876217144 48.67922863355492)
87746727,Vaudagne,False,896000,POINT (6.772718953597744 45.90883333543229)
87345215,Sallaumines,False,286000,POINT (2.853313364463134 50.417576866196214)
87297085,La Bouteille,False,229000,POINT (3.982780234602767 49.86013200623647)
87381418,Éragny-Neuville,True,338000,POINT (2.090693441119664 49.01807541542063)
87592162,Bugeat,False,713000,POINT (1.924701307116645 45.600671390901645)
87673400,Biarritz,False,655000,POINT (-1.546701196505995 43.459039067040734)
87741132,Aix-les-Bains-Le Revard,False,897000,POINT (5.908901294915315 45.68811242801366)
87296442,Tergnier,True,242000,POINT (3.296029163054814 49.657025416291944)
87784207,Elne,False,680000,POINT (2.963323638197445 42.597388781881214)
87688887,Montpellier Sud-de-France,False,834000,POINT (3.913503031859994 43.59059396779133)
87393488,Dreux,True,409000,POINT (1.366573086159309 48.72968627975006)
87313676,Laboissière-le-Déluge,False,325000,POINT (2.136162166775651 49.28849515066278)
87296129,Vervins,False,229000,POINT (3.893379399194968 49.83006081662173)
87682401,Livry-sur-Seine,False,746000,POINT (2.678950684970235 48.510372898715616)
87543017,Les Aubrais-Orléans,True,570000,POINT (1.906180921730925 47.92627524985607)
87773531,Vic-Mireval,False,810000,POINT (3.799519790518108 43.50077652727285)
87681510,Buno-Gironville,False,745000,POINT (2.38700758656232 48.370331373303955)
87746776,Les Pélerins,False,896000,POINT (6.847309606646864 45.912471662183634)
87287219,Anstaing,False,268000,POINT (3.193058529003588 50.60461729250528)
87784256,Collioure,False,677000,POINT (3.078202792729514 42.526767014719844)
87214114,Kogenheim,False,115000,POINT (7.53525630314566 48.33901322204409)
87725713,Crêches-sur-Saône,False,830000,POINT (4.784192910496286 46.2461460678675)
87571547,Neuillé-Pont-Pierre,True,561000,POINT (0.564910289806908 47.55801500354531)
87746248,Groisy-Thorens-la-Caille,True,897000,POINT (6.175631902610537 46.01119331164044)
87486142,Belleville-Vendée,False,530000,POINT (-1.434609949205071 46.78832266230525)
87682153,Lieusaint-Moissy,True,830000,POINT (2.569445631919197 48.6298605860807)
87184523,Montbéliard,True,852000,POINT (6.801539332256804 47.51050788739182)
87343004,Valenciennes,True,262000,POINT (3.517355969325084 50.36460712970302)
87212118,Vendenheim,False,070000,POINT (7.718218127488558 48.6654040011527)
87576199,Pruniers,False,600000,POINT (1.672257775086365 47.31315601486028)
87345132,Coron-de-Méricourt,False,284000,POINT (2.884601268484962 50.41498395298839)
87182139,St-Louis,True,115000,POINT (7.554861547171745 47.59026893525361)
87381079,Bois-Colombes,False,334900,POINT (2.272569987445096 48.91339951734747)
87574301,Chouzy,False,570000,POINT (1.247857321419654 47.52032137783233)
87645481,Murat,True,720000,POINT (2.869632362496703 45.10905586452538)
87783308,Le Monastier,False,722000,POINT (3.252222124005448 44.50890669461671)
87116327,Esbly,False,070000,POINT (2.810621935936421 48.90314285767225)
87575183,La Tricherie,True,570000,POINT (0.440613237625383 46.7286537267279)
87271601,Vaumoise,True,229000,POINT (2.988488393716951 49.23368839144965)
87577403,Iteuil,False,570000,POINT (0.316918460854917 46.48421650970923)
87191098,Walygator-Parc,False,180000,POINT (6.159567248539697 49.22454054681963)
87721043,St-Victor-Thizy,False,783000,POINT (4.281196242917455 46.0022896841975)
87296293,Fresnoy-le-Grand,True,242000,POINT (3.432591812348432 49.9502360675234)
87673319,Ondres,False,655000,POINT (-1.456896038241614 43.568787790149855)
87746412,Magland,False,895000,POINT (6.621201466016069 46.01693032980183)
87545483,Breuillet-Bruyères-le-Châtel,False,550000,POINT (2.191610679522858 48.57725474635185)
87276550,Belloy-St-Martin,False,315000,POINT (2.361203045024102 49.0981509994917)
87741694,Notre-Dame-de-Briançon,True,899000,POINT (6.468704614901506 45.53933536332345)
87473843,Pontrieux,False,486000,POINT (-3.157066128939601 48.70557084893343)
87381426,St-Ouen-l'Aumône-Église,False,338000,POINT (2.103636686072467 49.03928027864275)
87756890,Viévola,False,946000,POINT (7.563037296893535 44.11237966120257)
87282624,Lyon-Jean-Macé,False,830000,POINT (4.841811647771398 45.74501472796414)
87214742,St-Blaise-la-Roche-Poutay,False,110000,POINT (7.165571428718573 48.40771532551548)
87491282,Ste-Eulalie-Carbon-Blanc,False,500000,POINT (-0.493677732798584 44.8980062831209)
87682138,Boussy-St-Antoine,False,830000,POINT (2.531116871671901 48.68174962528857)
87615054,Bram,True,640000,POINT (2.12024865574659 43.24374242929066)
87696161,Tracy-Sancerre,True,750000,POINT (2.880650704295121 47.3375511053059)
87116137,Longueville,True,003000,POINT (3.248786566166764 48.514782273794744)
87116731,Couilly-St-Germain,False,071000,POINT (2.85423876033952 48.88268311017259)
87142224,Bologne,True,026000,POINT (5.134533675582396 48.19864643079615)
