code_uic,libelle,fret,code_ligne,geometry,code_postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,801402.0,921152.0,2019
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,468771.0,538817.0,2020
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,600736.0,690501.0,2021
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,811432.0,932680.0,2022
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,1007764.0,1158349.0,2023
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,197043.0,246304.0,2015
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,197849.0,247311.0,2016
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,198378.0,247972.0,2017
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,198952.0,248690.0,2018
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,209979.0,262474.0,2019
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,159685.0,199606.0,2020
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,189029.0,236286.0,2021
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,220519.0,275649.0,2022
87213686,Hoerdt,False,146000,POINT (7.779768520134403 48.70309760980168),67720,B,244095.0,305119.0,2023
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,810.0,810.0,2015
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,895.0,895.0,2016
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,989.0,989.0,2017
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,1032.0,1032.0,2018
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,1356.0,1356.0,2019
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,668.0,668.0,2020
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,1149.0,1149.0,2021
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,2766.0,2766.0,2022
87696633,Flez-Cuzy-Tannay,False,762000,POINT (3.61513480048546 47.363016895939),58190,C,3467.0,3467.0,2023
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,134336.0,150939.0,2015
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,125498.0,141009.0,2016
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,126466.0,142096.0,2017
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,108058.0,121413.0,2018
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,120570.0,135472.0,2019
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,76436.0,85883.0,2020
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,117207.0,131693.0,2021
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,159840.0,179596.0,2022
87473181,Plouaret-Trégor,False,420000,POINT (-3.457983953556023 48.60629094894776),22420,C,203798.0,228987.0,2023
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,41806.0,41806.0,2015
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,38884.0,38884.0,2016
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,42938.0,42938.0,2017
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,41353.0,41353.0,2018
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,43876.0,43876.0,2019
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,22884.0,22884.0,2020
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,34033.0,34033.0,2021
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,52220.0,52220.0,2022
87582684,Cadaujac,False,640000,POINT (-0.5379236890849 44.751984238346004),33140,C,66894.0,66894.0,2023
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,4771298.0,5964123.0,2015
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,4975896.0,6219870.0,2016
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,5179573.0,6474466.0,2017
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,4767367.0,5959209.0,2018
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,5096215.0,6370269.0,2019
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,3384293.0,4230366.0,2020
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,4343840.0,5429800.0,2021
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,5224702.0,6530877.0,2022
87276006,Creil,True,272000,POINT (2.469338512801428 49.264336965299535),60100,B,5392059.0,6740074.0,2023
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,40979.0,40979.0,2015
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,34654.0,34654.0,2016
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,26741.0,26741.0,2017
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,20618.0,20618.0,2018
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,22836.0,22836.0,2019
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,14192.0,14192.0,2020
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,13105.0,13105.0,2021
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,17740.0,17740.0,2022
87396275,Champagné,True,420000,POINT (0.336034717275251 48.019992074924275),72470,C,15911.0,15911.0,2023
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,9368.0,9368.0,2015
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,9349.0,9349.0,2016
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,6678.0,6678.0,2017
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,7889.0,7889.0,2018
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,6696.0,6696.0,2019
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,6368.0,6368.0,2020
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,7695.0,7695.0,2021
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,10521.0,10521.0,2022
87471029,Vern,False,466000,POINT (-1.596590935217564 48.0469746654027),35770,C,12430.0,12430.0,2023
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,4054279.0,4054279.0,2015
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,4093512.0,4093512.0,2016
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,4118094.0,4118094.0,2017
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,4057666.0,4057666.0,2018
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,4014188.0,4014188.0,2019
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,1757976.0,1757976.0,2020
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,2657248.0,2657248.0,2021
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,3315717.0,3315717.0,2022
87545210,Ste-Geneviève-des-Bois,False,570000,POINT (2.311349268650718 48.652126468757295),91700,B,3528463.0,3528463.0,2023
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1594736.0,1993420.0,2015
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1573588.0,1966985.0,2016
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1662901.0,2078626.0,2017
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1646301.0,2057877.0,2018
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1734756.0,2168445.0,2019
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1316770.0,1645963.0,2020
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,1647848.0,2059810.0,2021
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,2027734.0,2534668.0,2022
87213058,Haguenau,True,160000,POINT (7.741946133955297 48.82895123489752),67500,B,2061052.0,2576315.0,2023
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,6228280.0,6228280.0,2015
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,6198775.0,6198775.0,2016
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,6140140.0,6140140.0,2017
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,5933850.0,5933850.0,2018
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,5823421.0,5823421.0,2019
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,2303136.0,2303136.0,2020
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,2531839.0,2531839.0,2021
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,4807552.0,4807552.0,2022
87393306,Issy-Val-de-Seine,False,977000,POINT (2.263061548452739 48.82920627263119),92130,B,5112442.0,5112442.0,2023
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,212990.0,266238.0,2015
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,221370.0,276713.0,2016
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,247436.0,309295.0,2017
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,218204.0,272755.0,2018
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,243949.0,304936.0,2019
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,204051.0,255064.0,2020
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,315649.0,394562.0,2021
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,401842.0,502302.0,2022
87775114,Vergèze-Codognan,True,810000,POINT (4.219113329716424 43.73977946285169),30310,B,456695.0,570869.0,2023
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2015
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2016
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2017
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2018
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2019
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2020
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2021
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2022
87725457,Champlan,False,990000,POINT (2.279341221911651 48.70929064715795),91160,,0.0,0.0,2023
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,15023.0,15023.0,2015
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,13676.0,13676.0,2016
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,9824.0,9824.0,2017
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,7293.0,7293.0,2018
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,6744.0,6744.0,2019
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,5284.0,5284.0,2020
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,3101.0,3101.0,2021
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,1927.0,1927.0,2022
87193656,Wittring,False,161000,POINT (7.140819812049896 49.0559584817831),57137,C,1362.0,1362.0,2023
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,210098.0,262622.0,2015
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,208774.0,260968.0,2016
